Iteration	Posterior	Likelihood	Prior	rate_log_sd	tree_length
0	-7188.864	-7600.379	411.5155	1.214169	6.497804
6	-7199.936	-7612.42	412.4847	1.214391	5.970806
12	-7212.726	-7624.257	411.5309	1.252002	6.468949
18	-7190.74	-7603.946	413.2055	1.270008	5.545651
24	-7196.461	-7609.728	413.2668	1.239158	5.528894
30	-7196.067	-7608.392	412.3252	1.270236	6.027343
36	-7179.663	-7590.776	411.1133	1.089876	6.782471
42	-7203.311	-7615.021	411.7102	1.226815	6.38542
48	-7194.442	-7606.152	411.7102	1.226815	6.38542
54	-7201.371	-7614.153	412.7816	1.366787	5.725167
60	-7190.583	-7605.38	414.7976	1.442011	4.566469
66	-7193.82	-7608.265	414.4449	1.374278	4.801814
72	-7181.528	-7594.867	413.3392	1.312954	5.448504
78	-7177.71	-7590.446	412.7361	1.257128	5.81006
84	-7191.432	-7603.809	412.3771	1.319358	5.972224
90	-7186.526	-7600.323	413.7976	1.436648	5.127061
96	-7187.984	-7601.867	413.8824	1.445891	5.07491
102	-7176.387	-7590.539	414.1513	1.372458	4.966376
108	-7178.714	-7591.168	412.4531	1.217984	5.986097
114	-7185.614	-7597.723	412.1089	1.203803	6.181331
120	-7194.374	-7604.648	410.2743	1.138174	7.208305
126	-7196.304	-7607.142	410.8387	1.138174	6.90455
132	-7218.705	-7631.304	412.5993	1.22054	5.904852
138	-7206.809	-7619.967	413.1584	1.243143	5.586267
144	-7195.77	-7608.816	413.0454	1.269556	5.633813
150	-7194.477	-7607.641	413.1636	1.37492	5.511031
156	-7185.29	-7598.583	413.2929	1.421439	5.414271
162	-7193.879	-7606.351	412.472	1.269181	5.947828
168	-7215.376	-7628.064	412.6888	1.350773	5.784741
174	-7208.278	-7623.024	414.7466	1.353261	4.64483
180	-7205.551	-7619.58	414.0298	1.378911	5.03026
186	-7203.155	-7616.407	413.2512	1.289208	5.509978
192	-7184.9	-7598.598	413.6981	1.207183	5.308966
198	-7202.616	-7615.349	412.7334	1.136264	5.877651
204	-7208.248	-7619.72	411.4718	1.165254	6.547962
210	-7205.961	-7618.907	412.9456	1.231909	5.709208
216	-7217.823	-7629.919	412.0956	1.225228	6.176896
222	-7216.165	-7629.414	413.2483	1.342977	5.481987
228	-7200.909	-7612.655	411.7454	1.181444	6.390938
234	-7215.219	-7627.916	412.6972	1.325979	5.793675
240	-7212.433	-7624.07	411.6367	1.193439	6.443352
246	-7202.947	-7613.764	410.8169	1.192884	6.886799
252	-7211.035	-7622.897	411.8619	1.194874	6.320414
258	-7208.517	-7622.45	413.9328	1.38116	5.082844
264	-7214.06	-7627.765	413.7044	1.435932	5.179045
270	-7212.937	-7627.119	414.1817	1.376465	4.947246
276	-7190.392	-7602.762	412.3709	1.331201	5.969174
282	-7194.433	-7608.876	414.4429	1.370967	4.804766
288	-7208.944	-7623.072	414.1276	1.373871	4.978744
294	-7217.871	-7630.948	413.0769	1.280424	5.610579
300	-7201.82	-7614.393	412.5729	1.290947	5.880833
306	-7206.013	-7618.986	412.9736	1.252423	5.682615
312	-7193.293	-7606.31	413.0169	1.359658	5.600032
318	-7201.086	-7614.307	413.2214	1.298286	5.521379
324	-7203.009	-7616.019	413.0097	1.171926	5.706954
330	-7212.681	-7624.58	411.8991	1.16222	6.317946
336	-7205.524	-7617.812	412.2883	1.194029	6.088968
342	-7198.269	-7611.622	413.3522	1.258447	5.471325
348	-7194.437	-7607.417	412.9809	1.210424	5.701642
354	-7208.761	-7621.842	413.0814	1.188227	5.658689
